Date	Tweet
2020-07-10 18:04:39+00:00	Thank you to all of my readers. My column surpassed 2.5-Million monthly views! Details -> https://js.tc/25mil #CyberSecurity #InfoSec #AI #Privacy #Security #TechNews #technology #COVID19 #News #IoT #USA #Columnist #JosephSteinberg #malware #coronavirus #ransomware #NYC
2020-07-10 17:48:09+00:00	Banking is not a business that is meant to be conducted from home. Banks need to think about new ways to combat fraud and ensure compliance in the age of #COVID19 and beyond. 
2020-07-10 17:21:41+00:00	“The bitter truth was that AIDS did not just happen to America - it was allowed to happen by an array of institutions, all of which failed to perform their appropriate tasks to safeguard the public health” - eerie similarities between the AIDS epidemic and the #COVID19 pandemic pic.twitter.com/QmTGXM4KL4
2020-07-10 17:09:52+00:00	#COVID19 demonstrates the power of physical reality -- it doesn't care one iota about our opinions -- the #ClimateCrisis is that times a million
2020-07-10 16:37:57+00:00	Please Wear a face Mask #covid19 pic.twitter.com/0Fo37wrTFR
2020-07-10 16:34:24+00:00	This NYC pre-schooler has done a better job than 90% of adult political leaders of explaining why everybody should wear . Thanks, Kiddo, for laying out #COVID19 #coronavirus protection so clearly.
2020-07-10 14:35:17+00:00	#coronavirus: #Iran’s south western city of Ahvaz. The medical staff of a hospital, overwhelmed by #COVID19 patients, staged a walk out and went to the market in the hope of shaming people into wearing masks. 
2020-07-10 14:33:34+00:00	When girls are out of school, they lose a vital support system that can help them disclose violence and seek help. Support networks must expand to be long-distance. We can’t let #COVID19 sever the connections we need more than ever. #GenerationEquality
2020-07-10 11:40:58+00:00	Chronic symptoms following viral infection is a well known phenomenon. #pwme have been shouting from the rooftop for decades re this....#covid19 
2020-07-10 11:06:01+00:00	It took one month for #COVID19 cases to go from 2 million to 3 million in America because of re-opening too fast. How many kids, teachers, staff, parents will die because Trump is pressuring schools to re-open as the White House pins re-election to the economy?
2020-07-10 04:33:59+00:00	This is a public apology to everyone who has lost a loved one to #COVID19. To everyone who got sick and is still living with complications. All of us on the frontlines - nurses, infection prevention &amp; control teams, lab techs, doctors, everyone - are doing everything we can. 
2020-07-10 04:10:33+00:00	HOW EXACTLY DID @TomBrady #TB12 get hurt by #COVID19 How was his business impaired? Who on his team was at risk of losing their jobs, but didn’t because of the much needed government money? 
2020-07-10 03:00:22+00:00	Just finished my shift in the ER. Turns out my job is way better when multiple patients don’t die from #COVID19 every shift. So wear a mask please, thanks.
2020-07-10 02:31:24+00:00	"Remarkably, things got even uglier in @WhiteHouse #COVID19 leadership. ""June 28 email to @CDCDirector was ominous: A sr adviser @HHSGov accused CDC of 'undermining the President' by putting out a rpt abt risks of the #coronavirus to pregnant women."""
2020-07-10 02:26:17+00:00	Yeah, just like those 135,000 DEAD AMERICANS 'automatically cured'. Sociopath... #Trump #COVID19 #CoronaVirus
2020-07-10 23:43:48+00:00	July 10th Update Including: - #COVID19 info for NYC - My new bill to make sure the US is prepared for any future pandemic w/ an adequate #PPE stockpile - Fighting for #JusticeForVanessaGuillen - Mazars #SCOTUS case
2020-07-10 21:47:46+00:00	Reflecting on todays increasing trends and the US being one of the biggest sources of #COVID19 infections in the world - we’re digging ourselves into a deeper hole making it 10x harder to get out of. So much of this was preventable if we only let science drive the decision making 
2020-07-10 21:12:06+00:00	Why isn't the $600/week UI not getting extended? Why is Congress on vacation? More than 40M ppl are unemployed. Is Congress saying people will have to choose between risking their lives during a lethal pandemic and food/housing/bills come August? #COVID19 #unemploymentbenefits
2020-07-10 20:14:01+00:00	“There was a moment where I thought that, I thought that… that I wasn't gonna make it.” Here's what it's like inside a South Carolina hospital ICU battling #COVID19. @ellisonbarber gives us an exclusive report: http://nbcnews.com/NOW
2020-07-10 19:42:12+00:00	#COVID19 could drive 100 million more people into extreme poverty by the end of 2020. I join the Global Commission on Adaptation's call to action 4 a more #ClimateResilient Recovery from #COVID19. #AdaptOurWorld - Read the statement here http://ow.ly/BBIj50AuVvG
2020-07-10 19:00:32+00:00	"The region has been a #COVID-19 mess. Neighboring Turkmenistan banned mention of #COVID19 or #coronavirus &amp; #Kazakhstan is on its 2nd lockdown -- the only nation besides China to have such a set-back. Declaring it a ""new pneumonia"" may be political cover for failed COVID efforts."
2020-07-10 18:38:29+00:00	Miami-Dade County in #Florida is witnessing a staggering 33.5% #SARSCoV2 test-positive rate Over the past 13 dys, hospitalizations in the County have gone up by 76%, the number of ICU beds being used has ^ed by 86% &amp; ventilator use ^ed by 124%. #COVID19 
2020-07-10 18:34:09+00:00	We can protect recent development gains, prevent future crises & build back better from #COVID19. This is a central message conveyed by the 47 countries that are presenting voluntary national reviews at this year’s High-level Political Forum on the #2030Agenda #ForPeopleForPlanet – at United Nations
2020-07-10 18:05:45+00:00	Researchers from @MIT and @UofRegina have determined a way to keep #socialmedia users from sharing #fakenews stories about #COVID19. Social media companies could use the researchers’ findings to limit the spread of false information on their platforms. 
2020-07-10 18:01:03+00:00	We asked young people around the world to share their questions on #COVID19 and education. As we respond to the pandemic, we must listen to and work with them to reimagine a better future. 
2020-07-10 16:43:24+00:00	Mysteriously, 33% of Americans approve of how @POTUS #Trump is handling the #COVID19 #pandemic.
2020-07-10 16:42:40+00:00	Universities host most of the scientists researching #COVID19 treatments &amp; vaccines. Healthcare workers at university hospitals all across the US have saved the lives of so many #COVID19 patients. Without our universities, we would’ve lost even more Americans to this pandemic. 
2020-07-10 16:33:23+00:00	Despite economic disruptions due to #COVID19, online vendors in Mexico are seeing a surge in #ecommerce consumers. Earlier, only about 1 out of 4 Mexicans were shopping online.
2020-07-10 15:42:15+00:00	"Lmaoo Smh I guess everyone on both sides must ""Enter At Own Risk"" #Covid19 #BootyBandits pic.twitter.com/VGoyMXmFJz"
2020-07-10 15:32:51+00:00	Someone tweeted me suggesting that testing was a hoax. #Covid19 
2020-07-10 15:00:13+00:00	TAKE ACTION Fast slaughter line speeds endanger animals and workers, increase the risk of inhumane slaughter and make it harder to protect workers from #COVID19 exposure. Join us and demand that @TysonFoods take action NOW: http://aspca.org/tyson #ProtectFoodWorkers
2020-07-10 13:28:10+00:00	Trump's handling #COVID19 Disapprove 67% (+9 since last month) Approve 33% (-8) @abcnews Poll
2020-07-10 13:00:51+00:00	#COVID19 is derailing progress toward the #GlobalGoals, included #SDG4. Learn more about ECW's work with our partners to build a strong education in emergencies response to the pandemic. http://educationcannotwait.org/tag/covid19/
2020-07-10 10:00:20+00:00	The most vulnerable children are hardest hit by school closures due to #covid19 - including girls living in poverty, armed conflicts, forced displacement &amp; natural disasters. Please retweet if you agree their #EducationCannotWait!
2020-07-10 02:23:00+00:00	Just this. #COVID19 
2020-07-10 22:46:53+00:00	What do we know about #COVID19 as of July 10, 2020? This narrative review in @JAMA_current does a great job of summarizing where we are today with the science of this disease. Where we will be tomorrow?....well let's stay tuned. Please take care everyone!
2020-07-10 22:04:00+00:00	Saturday is #WorldPopulationDay! Amid the #COVID19 crisis, see how @UNFPA is safeguarding the health and rights of millions of people worldwide affected by #coronavirus: https://bit.ly/3eoraek #WPD2020
2020-07-10 22:00:48+00:00	#Covid19 reaffirms @EduCannotWait’s commitment to break silos to ensure education, child protection &amp; health actors work together to address holistic needs of vulnerable children &amp; youth impacted by crises, incl. armed conflicts &amp; forced displacement. @UN @YasmineSherif1 @UNOCHA
2020-07-10 21:32:48+00:00	We are here with #MinMcKenzie at #Windsor Primary school finalizing preparations for the hurricane season. Additional measures will be put in place because of the #COVID19 pandemic #staysafe #MasksOn #ActionTeam #ActionAnn #ActionDoDat my #EastPortland 
2020-07-10 21:10:33+00:00	Data on the risk of severe #COVID19 illness among people with HIV are scarce, as we discuss in our latest Weekly Science Review. There's still a lot more to learn; people with HIV should reduce their risk of contracting Covid. http://bit.ly/3iI2EYZ
2020-07-10 21:08:56+00:00	Made it onto the #PhysiatryForward collage of physiatrists taking care of #covid19 patients! #HSS #sportsmedicine #physiatry
2020-07-10 19:36:49+00:00	Rensselaer County Health Dept, in upstate New York, issued a health advisory after three passengers on a Delta flight from Atlanta to Albany, NY tested positive for #COVID19, a statement from the health department says.
2020-07-10 18:39:13+00:00	"Join us ( @Local2030 ) next week as we talk how to become more resilient to future crises with #HLPF2020’s theme ""Inclusive, Resilient, &amp; Green"" #COVID19 Response &amp; Recovery. To register: https://buff.ly/2BXJ3Dr #Local2030 #SDGs"
2020-07-10 18:00:58+00:00	Water & sanitation facility upgrades in schools and learning centers are a first line of defense in @EduCannotWait +partners' #COVID19 education in emergency response. @UN @eu_echo @UNICEFwater @dfat @DFID_Education @Oxfam @YasmineSherif1 @DubaiCares @INEEtweets @GlobalEdCluster
2020-07-10 18:00:01+00:00	The disproportionate impact of #COVID19 on minority communities has shed new light on healthcare’s systemic inequities. Hear Shamika Williams on our commitment to addressing these disparities, during @AtlanticLIVE’s #AtlanticPulse.
